indiv,region_narrow,name,sex,country,colour,region,notes,lat,long,hindwingWhite,forewingBand,backgroundColour,bam
IG20NY058,NYA,Caspar,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,partial,intermediate,IG20NY058.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY060,NYA,Bruno,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,present,dark,IG20NY060.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY062,NYA,Chanise,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,absent,light,IG20NY062.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY063,NYA,Claudine,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,light,IG20NY063.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY066,NYA,Cynthia,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,present,present,light,IG20NY066.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
RB20110,NYA,Cora,F,Rwanda,tomato4,tomato4,Daughter of 1G20.NY002. Mother of SB211.,-2.154,30.077,absent,present,dark,RB20110.EDSW210008701-1a.220621.Dchry2.2.bwa.default.rmdup.bam
SM16K567,NRB,Harriet,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,light,SM16K567.DSW31520.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K570,NRB,Sparkle,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K570.DSW31521.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K571,NRB,Peggy,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,light,SM16K571.DSW44974.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K577,NRB,Sorcha,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,present,partial,light,SM16K577.DSW31522.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K580,NRB,Nadia,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K580.DSW44983.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K584,NRB,Agnes,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,light,SM16K584.DSW44973-1.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K585,NRB,Maureen,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,present,dark,SM16K585.DSW31523.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K618,NRB,Ralph,M,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,intermediate,SM16K618.DSW44969.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K620,NRB,Oisin,M,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,intermediate,SM16K620.DSW44967.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K622,NRB,Fergus,M,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,absent,light,SM16K622.DSW44988.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K626,NRB,Tim,M,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K626.DSW31524.220308.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K627,NRB,Danielle,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K627.DSW31525.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K628,NRB,Marlie,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K628.DSW44985.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K630,NRB,Oonagh,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K630.DSW44972.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K631,NRB,Niamh,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K631.DSW44984.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K633,NRB,Aisling,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,partial,light,SM16K633.DSW44986.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K634,NRB,Laoise,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,absent,present,light,SM16K634.DSW44987.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K641,NRB,Orla,F,Kenya,tomato,tomato4,N/A,-1.39,36.82,missing,missing,missing,SM16K641.DSW44965.220308.Dchry2.2.bwa.default.rmdup.bam
ABRI183097,NRB,Jane,F,Kenya,tomato,tomato4,N/A,-1.304,36.693,absent,absent,light,ABRI183097.EDSW200018989-1a.220308.Dchry2.2.bwa.default.rmdup.bam
